,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,2777130375,3027809415,4,0.07190496,0.45373368,0.45373368,Failed
1,2777130375,3035673615,18,0.04083322,0.45373368,0.45373368,Failed
2,2777130375,3035673780,27,0.03989856,0.45373368,0.45373368,Failed
3,2777130375,3537028050,27,0.03989856,0.45373368,0.45373368,Failed
4,2777130375,3537035730,26,0.089876845,0.45373368,0.45373368,Failed
5,2777130375,3537972705,3,0.07612623,0.45373368,0.45373368,Failed
6,2777130375,3538955760,27,0.03989856,0.45373368,0.45373368,Failed
7,2777130375,3785744805,7,0.03910353,0.45373368,0.45373368,Failed
8,2777130375,4031508660,27,0.03989856,0.45373368,0.45373368,Failed
9,2777130375,4039315215,10,0.034943048,0.45373368,0.45373368,Failed
10,2777130375,4041289185,4,-0.014329336,0.45373368,0.45373368,Failed
11,2777130375,4042272240,27,0.03989856,0.45373368,0.45373368,Failed
12,2777130375,517136850,7,0.03835153,0.45373368,0.45373368,Failed
13,2783028705,3027809415,3,-0.006974132,0.45373368,0.45373368,Failed
14,2783028705,3035673615,9,0.07160015,0.45373368,0.45373368,Failed
15,2783028705,3035673780,23,0.08987833,0.45373368,0.45373368,Failed
16,2783028705,3537028050,23,0.08987833,0.45373368,0.45373368,Failed
17,2783028705,3537035730,23,0.08987833,0.45373368,0.45373368,Failed
18,2783028705,3537972705,2,-0.048542377,0.45373368,0.45373368,Failed
19,2783028705,3538955760,22,0.09463525,0.45373368,0.45373368,Failed
20,2783028705,3785744805,12,0.02191818,0.45373368,0.45373368,Failed
